,Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago
148,0.368,Wed Aug 02 15:41:11 +0000 2017,0.0,0.826,0.174,News Feed FYI: Showing You Stories That Link to Faster Loading Webpages https://t.co/cbhgIxvpqQ,149
149,0.0,Tue Aug 01 15:04:59 +0000 2017,0.0,1.0,0.0,A Step to Catalyze Affordable Housing in the Community https://t.co/lxV2E8unVj,150
150,-0.6808,Mon Jul 31 23:00:34 +0000 2017,0.261,0.739,0.0,Global Internet Forum to Counter Terrorism to Hold First Meeting in San Francisco https://t.co/fHJLswteez,151
151,0.0,Fri Jul 28 16:13:18 +0000 2017,0.0,1.0,0.0,Updates on Video Re-Shares https://t.co/7oH0cLxDJL,152
152,0.0,Wed Jul 26 20:22:24 +0000 2017,0.0,1.0,0.0,Facebook Reports Second Quarter 2017 Results https://t.co/ec60Uojyp9,153
153,0.0,Wed Jul 12 19:09:44 +0000 2017,0.0,1.0,0.0,Net Neutrality – A Day of Action  https://t.co/BnCaJrJtB5,154
154,0.6486,Wed Jul 12 16:00:20 +0000 2017,0.0,0.654,0.346,Live From Facebook Spaces: A New Way to Share VR With Friends https://t.co/bOOqPuBP3w,155
155,0.0,Fri Jul 07 15:00:06 +0000 2017,0.0,1.0,0.0,Investing in Menlo Park and the Community https://t.co/PqIHbKSCoS,156
156,0.5106,Fri Jun 30 19:04:02 +0000 2017,0.0,0.807,0.193,"@michael_hodapp1 @facebook @CazMillin Hi Michael, Thank you for reaching out to us. Would you be able to direct mes… https://t.co/yTZ8IiCWCT",157
157,0.368,Fri Jun 30 18:00:56 +0000 2017,0.0,0.798,0.202,News Feed FYI: Showing More Informative Links in News Feed https://t.co/1TGlkVMYnG,158
158,0.0,Fri Jun 30 16:00:39 +0000 2017,0.0,1.0,0.0,Expanding Find Wi-Fi Globally https://t.co/plw6HbkpWS,159
159,0.4404,Thu Jun 29 16:09:40 +0000 2017,0.0,0.734,0.266,Metrics Release: New Ways to Better Understand Interactions https://t.co/VbPOxX7chB,160
160,0.0,Wed Jun 28 16:00:46 +0000 2017,0.0,1.0,0.0,Discover bots and businesses in Messenger https://t.co/lrCSMdSdMX,161
161,0.0,Tue Jun 27 17:08:36 +0000 2017,0.0,1.0,0.0,Two Billion People Coming Together on Facebook https://t.co/NMwI1NTplD,162
162,-0.6249,Tue Jun 27 12:00:11 +0000 2017,0.63,0.37,0.0,Hard Questions: Hate Speech https://t.co/dK27kxvrye,163
163,-0.6808,Mon Jun 26 17:30:35 +0000 2017,0.235,0.765,0.0,"Facebook, Microsoft, Twitter and YouTube Announce Formation of the Global Internet Forum to Counter Terrorism https://t.co/sEeBEijdH1",164
164,0.5563,Mon Jun 26 15:30:26 +0000 2017,0.0,0.715,0.285,Messenger Just Added More Fun to Your Video Chats https://t.co/FWo3aLrjyF,165
165,0.0,Thu Jun 22 16:13:02 +0000 2017,0.0,1.0,0.0,Our First Communities Summit and New Tools For Group Admins https://t.co/1P3l0YRzH0,166
